评论,时间
好产品、好品质、好服务，宝贝确实值这个价钱，在这给商家点个赞不得不赞，质量真的好，包装物流也不错。真心喜欢，入手后不会让你后悔的！,2024年9月24日
不错不错  带着挺合适的,2024年10月22日
整体评价：挺不错的 ,2024年5月27日
挺好的,2024年5月11日
绳子大了,2024年10月31日
很透亮 看着很舒服,2025年7月13日
还不错吧,2024年10月30日
男朋友很喜欢，玉质感很好，挺润的，挺大气的,2024年11月11日
大小合适，调节的部位是绳尾朝同一方向抽的，调短的时候脖子后面会坠着两个尾巴。,2024年12月19日
买回来就直接给妈妈带上了 妈妈很喜欢,2025年5月12日
趁着优惠，赶紧入手，应该是正品，包装也非常的好，没有破损，,2024年6月23日
这玉特别差,2025年5月1日
物流很快，包装严实，触感光滑润泽。,2024年10月10日
这个拿到手就感觉很不错，很圆润也够厚实。小款的很适合女生，不会显得小气。跟之前在别家买的完全不一样,2024年8月28日
该用户未填写评价内容,2024年11月27日
很喜欢的 产品质量：蛮好的，戴着没有负重感，没有过敏原，大小合适，可以的 ,2025年2月7日
整体评价：周大生值得信赖，平安扣感觉不错！ 外观设计：外观带着很好看！ ,2024年11月7日
不错，戴上好高大上👍,2024年8月16日
货收到完好无损，实物很漂亮，佩戴舒适，值得购买！发货快，卖家服务态度很好，点赞！,2024年4月20日
一眼看中了这个，买的是小款，很适合女生戴了，挺好看的，物美价廉值得购买哦,2024年10月9日
这个挺满意的，买给儿子的礼物，回来就戴上了，儿子非常喜欢,2025年4月11日
正品完美！值得购买！,2025年2月14日
垃圾东西，到了的时候打开的时候绳子调整长度一拉就脱掉了，已经弄好以后才戴了半天，结果系吊坠的绳子直接脱开，吊坠都找不到了,2025年1月21日
小小一个挺好看的，自然光下是偏白色，不会很绿，配绳是黑色的，满意,2025年2月20日
很好,2024年12月21日
挺好的，品相不知道，但是自己喜欢就好！,2025年2月11日
项链收到啦  送给妈**母亲节礼物  妈妈很喜欢 玉的颜色也好看,2025年5月9日
送给哥哥当生日礼物的，刚好在生日的这天到 不过感觉这个更适合女生带 拿着看的时候感觉有点小气。我也不太懂这些 不过就感觉玉小轻薄 绳子很没有质感轻飘飘的 总体感觉很一般 不过已经买了也没法 将就吧,2025年3月7日
佩戴体验：挺好的，非常温润 ,2024年11月30日
澜客服回复很细致，有耐心。物流次日达，收货还是很快的。送给老爸选大一点的，戴着感觉刚好合适。,2025年4月29日
整体评价：很好看 佩戴体验：戴上很合适，大小刚好 产品性价比：性价比很高，东西好看又不贵，用来送人 产品质量：带子很结实 外观设计：好看 ,2024年11月7日
非常漂亮,2024年9月30日
佩戴体验：很好看 很好看 很亮很透 外观设计：很漂亮值得去购买姐妹们 ,2024年8月27日
一直以来都想买一个平安扣用来保平安 这家是老牌子了 买得放心 玉很透 建议购买,2024年11月1日
东西已经收到了，玉石很饱满，色泽很圆润，很高大上。,2024年9月9日
手感好，摸着很舒服。,2026年4月4日
很好，真玉 冰清玉洁,2025年6月6日
整体评价：东西很不错，小孩喜欢； 佩戴体验：佩戴上很好看； 产品性价比：这个价格便宜东西也不错； 外观设计：好看 ,2024年5月2日
玉收到了，比想象中的好，佩戴很上档次，喜欢的赶紧入手,2025年10月8日
整体评价：好看 ,2024年11月7日
好评,2024年10月15日
整体评价：很好 佩戴体验：还没带 产品性价比：比别家的好 有润感，棉多，看起来还是挺好的 ,2025年4月2日
玉佩还可以 ，就是有点薄 ,2025年8月23日
细节非常完美，整体来说真的很不错。性价比很高，下次还会继续光顾！,2024年11月9日
很好看,2024年6月30日
青白色，不够白。不过质地均匀,2025年5月12日
整体评价：挺好的 产品性价比：高 ,2024年5月10日
玉质很细腻，摸起来特别顺滑。,2026年2月7日
发货很快，售后处理快,2025年5月10日
产品很好，外观好看，推荐购买,2024年11月24日
严重色差，买的白色的，发的青色的。,2025年4月7日
摸着挺凉的。虞姬,2024年4月21日
收到第一时间打开看了，超级满意，白色很润很透，买了个大的，可以一直佩戴了。就是送刚出生的宝宝如果是红绳就更好了，必须给个好评,2024年11月5日
好产品、好品质、好服务，宝贝确实值这个价钱，在这给商家点个赞👍,2024年10月28日
产品不错，售后服务很好，感谢赵飞燕小姐姐耐心解答,2024年4月25日
第一次买周大生的饰品，玉石质感挺好的，温润的触感，老公带着挺好看的，好评～,2024年10月26日
戴上很显气质，朋友都夸好看。,2026年3月27日
这次购物体验蛮好的。商品的功能表现符合预期，配货速度超快，服务质量更是绝佳，耐心周到，让人感到愉悦。,2025年6月9日
很喜欢😘,2025年3月27日
整体评价：感觉宝贝不错 产品性价比：感觉性价比很高，值得推荐 产品质量：很棒 外观设计：设计很好 ,2024年11月16日
穿戴品图个感觉,2024年6月24日
跟图片上完全不一样 这颜色材质和做工晚上就是挂羊头卖狗肉 还大品牌呢这不就是割韭菜吗 我拍的款是什么样的？到货又是什么样子的？颜色、光泽、质感完全就是两个东西 典型的挂羊头卖狗肉 怎么？谁不知道玉石存在天然差异不可能一模一样 但是也得有分类吧 各种水种分类那么详细你们商家不知道？就这种垃圾成色拿来跟你们宣传图上的比？还颜色不一样是正常的 我真笑了 本来看大品牌以为应该不会踩坑结果还是一样 就这价格我也懒得退了大家谨慎选择吧,2025年8月22日
外观挺好看的，价格还可以,2024年11月18日
是好看的，很喜欢，戴起来很漂亮，刚开始贴肤有点冰冰凉～,2024年11月7日
母亲节送妈**礼物，不错,2025年5月13日
和田玉平安扣外型饱满圆润，质量很好，手感温润，大小合适，性价比高。,2024年5月2日
大气，好评,2024年4月30日
挺好的，发货也快，还有礼盒，送人也可以。,2024年10月18日
真的超好看，质感也很好，很好搭配，性价比也很高，推荐推荐啦,2024年5月28日
很漂亮，颜色偏青色，手感很舒服，,2024年10月28日
很好看,2025年4月19日
金色地方有点磨，其他可以,2024年10月20日
偏绿，没图片上的白，其他还好,2025年1月29日
玉，石之美者。自古以来，玉就以其温润的质地、晶莹的光泽、绚丽的色彩、坚韧的质地和柔和的触感，赢得了“东方宝石”的美誉。这块和田玉让我沉醉在它的世界中无法自拔。,2024年10月21日
超级好看 很透亮 戴起来真的非常美 很喜欢 非常推荐大家入手，,2025年6月17日
该用户未填写评价内容,2025年4月2日
非常好，非常喜欢，送货速度也非常快,2024年9月22日
很好很漂亮，客服态度很好会积极解决问题,2025年5月4日
东西不错很喜欢戴着也很舒服喜欢点赞,2025年6月19日
宝贝收到后，我太喜欢了。大小合适。挂在身上很凉快,2025年6月28日
买来自己带的，很漂亮，玉质细腻，摸着凉凉的，价格实惠，有检验书，物流速度非常快，商家服务态度也很好，下次继续购买。,2024年4月17日
玉摸起来质感很好，好评,2025年3月13日
实物其实挺浑浊的 体感一般,2025年2月28日
女盆友很喜欢，珠圆玉润，很干净的感觉，摸在手里冰冰凉，很有感觉，好评！,2024年11月17日
平安扣很漂亮很喜欢 佩戴好看哎,2025年5月10日
整体评价：还不错，透光看着还挺舒服的，带着挺凉快的。 ,2024年5月8日
整体做工还算精致，还配有证书，品质上也算是有保证了。美中不足的就是挂绳松紧设计太简单，感觉容易磨损，不是很牢固。,2025年6月20日
给对象买的，她很喜欢,2025年5月20日
收到了打开一看真的很好，做工精细，很精致。值得信赖的品牌，喜欢的小伙伴可入手。绝对的物有所值。,2024年11月6日
不错好看推荐 价格优惠,2025年6月30日
比较润，性价比高，瑶客服服务好，还会回购哟哟哟,2025年7月24日
宝贝收到了，非常满意，五分好评！,2025年7月12日
值得购买,2024年12月19日
有棉 不纯 ,2024年11月6日
买了周大生家很多东西，质量都很不错，很美，很时尚，以后还会持续关注咱们店铺,2024年6月22日
服务态度好、产品完美,2024年12月26日
整体评价：300来块的东西也就不那么吹毛求疵了，有三四个黑点瑕疵，就那样吧，这个价钱也就不纠结是不是品相好的了待着玩呗 产品性价比：一般，买的大阪还是感觉小，坠感没有那么明显 产品质量：一般吧 ,2024年12月5日
物流超快，而且玉佩还有证书，还送有装首饰的盒子和袋子，很贴心，很好看，很喜欢。😘😘😘,2024年7月27日
非常喜欢，温润。没有瑕疵！,2025年2月28日
可以的，这个尺寸是个女生和儿童戴,2025年6月4日
快递很快，顺丰快递来的，包装很完整，还有证书，摸起来很舒适，手感很棒，很精美，嘿嘿，非常喜欢  ˗ˋˏᰔᩚˎˊ˗,2025年6月25日
产品性价比：很好 产品质量：第二次购买，送人的 外观设计：不错 ,2024年8月10日
该用户未填写评价内容,2024年5月21日
送给小孩子的，还不错。,2025年9月9日
整体评价：首先，颜色偏绿 佩戴体验：两天绳子断了 产品性价比：性价比低，拔草 产品质量：绳子太粗制乱造了，绳结的位置随时会散开，绳子断了之后发现珠子在的地方已经磨的掉毛，就带了两天 ,2024年5月12日
好,2024年5月6日
东西不错蛮喜欢的,2024年10月4日
很喜欢,2025年2月1日
戴几天就掉了 无语 找客服就让去实体店穿 这个质量没话说,2025年3月16日
该用户未填写评价内容,2024年10月9日
好看,2024年11月21日
整体评价：不孬，挺好的，孩子喜欢 ,2024年9月8日
可以,2024年12月7日
都非常好看呢，喜欢喜欢,2024年11月3日
东西很好 很时髦 还有鉴别证书 值得购买,2025年6月9日
整体评价：小巧好看有质感，也不懂玉的好坏，但喜欢就好了。 ,2024年10月3日
整体评价：不错。佩戴舒适，产品美观且性价比高，很喜欢 ,2024年9月17日
有一点小,2025年5月22日
看起来还不错，给家人带，打灯看里面是带点棉絮状，这个价格买到也可以拉啦。希望以后出点活动，没有活动买还是肉疼。,2025年4月20日
该用户觉得商品非常好，给出5星好评,2024年6月14日
送人的，很漂亮,2024年10月25日
做工很细致，戴上显档次。,2026年1月21日
感觉很好看！！！,2024年10月24日
有黑色的小斑点杂质,2025年4月12日
看着像是自然的料子，有絮状结构和一个小黑点，买来带着玩的，我觉得符合这个价位,2025年4月11日
客服都是机器人，反应也没人沟通，明显有黑点，感觉店大欺客，购买需谨慎,2025年1月4日
产品质量：摸着蛮有一定重量的，绳子也蛮好的 外观设计：我买的大版的，看着挺不错的 ,2024年11月16日
很好，手感不错，挺好看的，很不错,2025年5月11日
没有划痕裂痕，女朋友很喜欢,2024年10月3日
好好看呀，太喜欢啦,2025年6月23日
整体评价：大小合适，外包装精致，带了证书，很放心 ,2024年11月24日
颜色好看，大小合适,2025年6月26日
第一次买玉 特别美！！！真的出乎预料的好看！！,2025年4月29日
佩戴体验：好 ,2024年5月15日
好看，无瑕疵，客服小姐姐也很棒！感谢，送人的礼物，对方很喜欢。,2024年10月3日
商品价格便宜，质量却很好。物流给力，商家服务贴心，售后处理及时有效。,2025年6月11日
该用户觉得商品非常好，给出5星好评,2025年9月23日
真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物,2024年11月30日
好看，满意，喜欢,2025年2月14日
挺好的,2025年5月19日
货品完好无损，证书齐全，与商品描述一致！,2025年3月17日
好,2024年8月18日
玉大小可以，表面很光滑，很润，看起来不错，还带证书噢！,2025年5月15日
挺不错的,2024年11月3日
东西很好 很漂亮 谢谢老板 整体评价：好 ,2024年8月12日
挺好的，朋友很喜欢,2024年7月28日
效果很好 大小适中 有一定厚度 用手电照了一下 很均匀没有瑕疵裂痕,2024年9月21日
心心念念的平安扣终于买下了，还是很满意的，但是不是很懂玉，光照那个有点裂缝看起来不知道是否正常，各位行家可以自行参考 玉的大小光泽度还有颜色我都很喜欢，是我想要的感觉，并且我以为绳子会很丑，而且也很结实，但是戴起来还不错 另外图片不同手机拍出来会有点色差，我这个拍出来有点偏绿,2024年11月12日
蛮好看的，绳子也还结实,2024年11月1日
好好看，我男朋友很喜欢,2024年10月5日
外观设计：有点薄，没有图片看着圆润 ,2024年8月25日
很不错！,2024年11月7日
很满意的一次购物，质量很好，有光泽度，发货速度也快,2024年9月3日
不错,2024年10月22日
不是白色的，是绿色的。一般,2024年11月10日
拿到手很惊喜 质感非常好 性价比高 佩戴也很漂亮 推荐！,2024年9月20日
肉眼有棉 薄,2025年1月2日
整体评价：真的很喜欢❤️ 佩戴体验：玉养人 产品性价比：很优惠，周大生赞赞赞👍👍👍 外观设计：很好看，小版平安扣刚好适合我 ,2025年3月13日
宝贝收到了， 商品做的很不错，超级喜欢，陆游客服服务态度很 好!! !非常推荐   ,2024年4月26日
整体评价：送给妈**，平安扣看起来很不错 佩戴体验：妈妈说戴着很舒服 ,2025年1月20日
家里三个女儿买了三块，每个女儿一块，三个看着都还不错，就是小孩子戴着绳子有点长，还有我觉得可以弄红色黑色让顾客选择，我比较喜欢红绳，小孩子戴红绳好看,2025年5月3日
实物一般，有明显杂质，厚度不达标，第一次发过来的平安扣非常薄，非常扁平，而且有明显裂痕，换货后的没裂痕了，稍微厚点但依然比较薄，看了看几个月前的买家评论图，感觉之前的货明显更圆润更厚些，质量也更大些，和我买的货简直两模两样，不知是卖着卖着偷工减料还是发给我的货不太好，总之不太满意，懒得再换了，就这样吧。,2025年3月5日
该用户觉得商品非常好，给出5星好评,2025年3月31日
不错,2025年8月16日
很漂亮 男朋友很喜欢,2025年5月10日
挂绳太短了，挂不进去,2025年5月16日
我最近购买了周大生的玉佩，佩戴起来非常舒适，玉质细腻，光泽度高。设计简约大方，适合各种场合佩戴。  总体评价：周大生的玉佩质量上乘，设计精美，值得推荐。建议喜欢玉石饰品的朋友们可以考虑购买。推荐度：⭐⭐⭐⭐⭐,2025年7月4日
还可以,2024年12月5日
有瑕疵很脆容易碎,2025年2月28日
宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，送礼自用非常合适，下次继续购买,2024年11月9日
大品牌值得信赖，平安扣清透温润，有光泽，佩戴大气漂亮，女儿非常喜欢，小版的很适合女孩戴 我看后也准备再买个大版的。,2024年11月15日
整体评价：挂饰特别好 质量也好  产品性价比：性价比很高  外观设计：好看美观 ,2024年9月14日
刚买完，就降价,2025年9月23日
很好看 物美价廉,2024年10月25日
项链很不错，非常好看，买来送人的，很喜欢,2025年6月14日
整体评价：很好看 佩戴体验：很棒 是真的  ,2024年10月23日
大小正合适，戴着很舒服。,2026年3月2日
还行吧就是打孔那个地方有瑕疵，有一点碎的样子,2025年1月12日
哇塞，圆润厚实，这个平安扣重量挺足的，大小刚刚好，适合夏天佩戴，冰冰凉凉很舒服 简单大方，挂绳也很简约，比较方便佩戴。物流都很快，隔天就到了，我非常喜欢。,2024年4月20日
手感好，摸着很舒服。,2026年2月10日
货收到了，质量很好，老牌子了买得放心，非常非常不错，下次还来买，照片随便拍了一下,2024年4月20日
好看 很油很润 量了一下长度和厚度都符合 佩戴也很舒服 打灯看了结构 是真的 非常喜欢,2024年10月30日
非常喜欢，价格实惠，玉很好,2025年6月3日
整体评价：好 佩戴体验：好看 产品性价比：高 产品质量：好 外观设计：好看 ,2024年11月8日
整体评价：好  佩戴体验：好  产品性价比：好 外观设计：简约美 ,2024年10月14日
整体评价：高级 佩戴体验：舒服 产品性价比：高 产品质量：值得 外观设计：好看 ,2024年4月20日
整体评价：特别好看，带上人都显得淑女了 产品性价比：性价比高，特别好看 ,2024年6月10日
该用户觉得商品非常好，给出5星好评,2025年7月11日
好戴,2025年7月14日
还可以的，挺厚的。整体还行。有性价比,2024年10月30日
也不知道好不好不专业，看着可以就留了。,2025年1月5日
产品质量：没有缺陷 整体评价：满意 外观设计：好看 产品性价比：品牌理念 ,2024年10月27日
手感好，摸着很舒服。,2026年3月2日
平安扣很好看，色泽通透，大小正好，作为母亲节礼物正合适,2025年5月5日
很好看 ,2024年9月26日
整体评价：很喜欢嗷 推荐购买，我买了个自己的绳子给装上去  产品性价比：高 产品质量：好 ,2024年11月13日
佩戴体验：大小合适 产品性价比：不错 外观设计：外形简约 ,2024年11月5日
很好看 小巧的 可以购买 周大生值得信赖,2024年10月24日
给女儿买的生日礼物，特别喜欢！小版的女孩戴上也不小，精致好看，推荐购买！,2025年5月24日
好看,2024年11月7日
好看好看,2025年5月13日
该用户觉得商品非常好，给出5星好评,2025年5月7日
玉质很细腻，摸起来特别顺滑。,2026年2月7日
一次买了两个，很喜欢，非常好看，值得购买，平安扣保平安,2024年11月12日
该用户觉得商品非常好，给出5星好评,2025年6月30日
可以,2025年3月28日
一开始问多重，说14g。货发过来连绳只有11g。服务态度更不用说，一直机器人糊弄，好不容易来个人工，也是爱答不理。玉石本身也是瑕疵货，送人根本拿不出手，同等价位不如选择其他牌子。姐妹们快逃吧 整体评价：差 ,2024年8月30日
买给老婆戴的，满意,2024年6月8日
物流很快，送给孩子的买的小款也好看，希望俩宝贝喜欢,2024年11月5日
买最大块的玉挡疤，订婚仪式上用的。效果很满意！,2025年3月9日
好看,2025年5月11日
该用户未填写评价内容,2025年9月14日
平安扣很润，没有瑕疵，适合送人，很满意此次购物。会回购。,2024年9月15日
可以 整体评价：OK 佩戴体验：OK 产品性价比：OK ,2024年11月11日
该用户未填写评价内容,2025年3月2日
颜色不白，里面有杂质，不是那么好看，真的很一般,2025年1月8日
物流快，玉质量不错，性价比挺高的，买给妈妈保平安的,2025年8月5日
颜色青黄色，不是白色,2025年5月7日
绳子扣不太好，有点没弄好，客服小姐姐补了20块钱，还行，自己再去买根绳子,2025年9月11日
整体评价：不错，蛮好看的 佩戴体验：很温润 产品性价比：高 产品质量：挺好的 外观设计：温润有光泽 ,2024年11月12日
该用户未填写评价内容,2025年7月6日
好,2025年9月20日
好看(✪▽✪),2025年8月28日
该用户觉得商品非常好，给出5星好评,2025年10月4日
该用户未填写评价内容,2025年9月15日
玉很润,2026年4月16日
该用户觉得商品非常好，给出5星好评,2026年4月16日
评论,时间
珠子小小的 我带有点紧 瘦子更好看一点,2026年3月29日
收到货觉得真的很漂亮。不错不错。,2026年3月20日
收到货感觉质量很好，很值得。还会回购周大生家。  产品性价比高。,2026年4月12日
节节高升寓意很好，造型也很好看，叠戴也适合,2026年2月4日
好看的，叠戴也很合适,2026年2月4日
好看，铃兰是渐变色的，真的不错。0.84g，小惊喜。,2026年2月4日
好看的~和金手镯搭配在一起特别适合,2026年3月14日
收到的实际金重有 0.84g，太划算了，比现在的黄金回收价都便宜,2026年1月23日
适合叠戴，挺好看的,2026年2月12日
拿到宝贝后去其他专柜按渐变色重穿了，比店家穿的好看多了，非常好看,2026年2月2日
好看，谢谢客服小鸿，不给我退差价，求了他半天才给我退差价,2026年1月26日
蛮好的，有暴击，算下来挺划算的 ,2026年1月23日
手串很好看，寓意也不错，竹子元素很喜欢,2026年1月28日
买了三条赌克重 最后收到的克重是一条0.81g 一条0.82g 一条0.84g 最后自留了0.84g的。凑单后的价格蛮划算。很喜欢,2026年1月28日
物超所值,2026年4月11日
挺好看的，秀气,2026年2月7日
很喜欢很好看！很棒很棒爱周大生 买了铃兰 这次又买了竹节,2026年1月29日
活动时用券买划算，多次购买了,2026年1月28日
物流很快,2026年1月7日
好评，有备用的两颗珠子和弹力绳，加上两颗重新穿的,2025年11月16日
发货速度很快 很漂亮，趁着活动买很划算！很喜欢这个哦！还有天仙客服服务态度很好！整体感受很好！,2025年10月25日
整体评价：还可以是Q版的，可可爱爱，就是买的时候有点贵，金价最高的时候买的 ,2025年10月30日
和田玉质感不错，润润的，到货很快，满意,2025年11月2日
暴击0.03很开心，收到货也很满意，周大生是我比下来价格非常合适的店，陆陆续续买了好多了，以后都会在他家买。,2025年10月24日
蛮好看的双十一的时候买的价格很划算,2025年11月22日
周大生这款黄金佛头转运珠真不错，没想到还送了一个这么好看的手串，直接佩戴不用想着怎么搭配了，周大生大品牌，质量很好。,2025年10月23日
很喜欢竹子形状，选择任嘉伦代言的周大师，很漂亮，好看,2025年10月23日
不细看的话还是蛮不错的，几百块钱随便带着玩一玩,2025年10月23日
好的 妈妈很喜欢,2025年12月11日
如果周大生有更多鲁班这样的客服，肯定生意更好了。❤️,2025年10月31日
和田玉珠子有点色差会比图片暗一点 大小比想象的小一点 整体还可以,2025年10月31日
太满意了，还有暴击,2025年10月23日
产品质量：戴在手上非常好看显嫩、又显白的、质量也是严格把关呢、 外观设计：大气上档次简约 产品性价比：性价比还挺高、预算不多的姐妹可以冲,2025年10月19日
还可以，买来送人的,2025年11月2日
不错，萌萌哒。还有点小精致。,2025年10月23日
很好看，一眼就很喜欢，而且珠子还润润的！,2025年10月19日
隔天就收到了  快递物流很快  这款非常精致很满意,2025年10月25日
好看的，还有暴击，实发0.79g，虽然金价跌了，但是小克重也亏不了几十。,2025年10月25日
挺好看的，就是没有暴击，价格不美丽。,2025年10月30日
老婆很满意,2025年11月8日
上边有两个孔 还是不规则的特别明显,2025年12月28日
真的很好看 买了两个了 美观 比较推荐,2024年7月28日
和别人比，算是买的高价，但手串还是不错的，就是我手腕太粗，等空了再重新加两颗珠子,2025年11月1日
大品牌值得信赖,2024年8月13日
满意满意。,2024年10月25日
挺好的,2024年8月5日
收到实物很惊艳 性价比高 好看,2024年10月6日
东西已经收到了，挺好看的，挺小巧的，蛮秀气的，买给儿媳妇带的很不错，她很喜欢，而且客服的服务态度也挺好的，为我解答了很多问题，总之推荐你们购买,2024年12月25日
第一次网络上买玉和黄金，购物体验非常好，购买的商品满意，服务也满意，特别是售后，客服赵飞燕帮忙解决了问题，好评哟！,2025年6月11日
这款宝贝看很久了， 最终下手了，超级喜欢，赵飞燕客服服务态度很 好!! !非常推荐,2024年8月5日
很精致可以的,2024年11月11日
发货速度很快，卖家服务也很到位，商品质量不错，值得推荐。,2025年7月4日
很喜欢 超喜欢 哈哈哈哈 很喜欢绿色 特意买了这款 简约,2024年10月29日
该用户觉得商品非常好，给出5星好评,2024年5月18日
买过降价了,2024年6月27日
挺好的，不过比想象中袖珍。,2024年6月28日
宝贝收到了。真的很惊喜。是我想要的，带上大气漂亮。真的很棒。客服也很热情周到。愉快的一次网购。,2024年8月18日
送朋友的，她很喜欢哦,2024年8月25日
好看，绿色的很有气质，竹子也非常精致，妈妈和婆婆一人一个，都很满意,2025年5月10日
好看，叠戴在一起更漂亮了，快递速度很快，值得推荐！,2025年4月29日
不是很好看,2025年2月7日
 手链很好很喜欢，清新脱俗。与卖家描述一致，发货速度快，包装仔细，严实，客服很热情，服务态度好，很满意的一次购物体验。 ,2024年6月12日
挺好的  已经送给妈妈了  但是没拍照  挺好看的,2024年10月4日
不错，挺好看的颜色，很夏日喜欢，大小也合适,2025年6月25日
好,2024年4月28日
可以的 很好看 很简约 鲁班客服也不错的 很好哦,2025年5月21日
实物真的非常好看，有气质！送人也很合适！,2025年8月19日
好看，值得推荐，暴击0.8g，很棒，物流很快,2026年1月30日
我觉得颜色有一点模糊,2026年1月10日
该用户未填写评价内容,2024年10月8日
有点小瑕疵 溢价过高 ,2024年5月21日
东西还可以，比实体店便宜，有足金标识没问题。,2024年4月29日
发货及时，对象很喜欢,2025年6月11日
男戴观音女戴佛，寓意很好。这个佛头做工很精美，玉珠也很精致，跟我的素圈很搭，很满意。,2024年4月25日
做工精致，正品有保障，还有备件，发货快，物流快,2024年11月4日
好多家卖这个款的，价格也参差不齐，不懂行还是信任大品牌吧。,2024年5月2日
包装完整，手串很漂亮，竹节好看。,2025年6月16日
母亲节送给妈妈，妈妈超级喜欢,2024年5月21日
整体评价：最差劲的一次购物，客服态度恶劣，东西有瑕疵 ,2024年8月13日
该用户未填写评价内容,2024年6月10日
女朋友很喜欢，看了很久才买到的 真的不错快递物流也是相当的快，以后还会购买的,2025年1月2日
很好看的我觉得很不错 老婆也很喜欢 老婆用了都说好!! 整体评价 好 包装礼盒 好 外观设计 很漂亮 显白 做工形式 好 总之就是一次很满意的购物体验 发货也蛮快的 老婆带了爱不释手,2024年9月19日
看起来很精致，拿在手里很有分量，手感很好，摸起来很舒服，很适合小姑娘带，很好看,2024年11月10日
整体评价：整体还行，竹节款看着黄金是比较多一点！ 包装礼盒：常规 外观设计：还不错 做工形式：常规 ,2024年7月19日
手串收到了，戴手上很好看，玉加金质感满满。,2024年5月9日
送给妈**母亲节礼物，特别的好看，质量也很好，款式很特别，妈妈非常喜欢，推荐推荐！,2025年5月25日
很好看,2025年9月2日
物流很快，手链也特别精致，实物没有色差，戴着大小刚好合适，很适合年轻人佩戴了。,2024年8月6日
家人们绝美！！真的放心冲吧 本来是母亲节买给老**，自己试了一下被深深种草 虽然珠子比较小，但是戴在手上特别精致有气质 产品质感超好👍 还额外送了珍珠耳钉，比实体店性价比更高 发货迅速，昨天拍下今天就收到了,2025年5月10日
